terrat	terraza
test	tiesto
teula	teja
teulada	tejado
tisores	tijeras
torradora	tostador
tub fluorescent	tubo fluorescente
vaixella	vajilla
vernís	barniz
vidriola	hucha
xemeneia	chimenea
anul·lació	anulación
aquàtic	acuático
arbitratge	arbitraje
àrbitre	árbitro
automobilisme	automovilismo
autopassada	autopase
avançar	avanzar
banqueta	banquillo
bàsquet	baloncesto
blocatge	blocaje
bombejar	bombear
boxeig	boxeo
busseig	buceo
cabotada	cabezazo
caça	caza
calfament	calentamiento
centrecampista	centrocampista
cistella	canasta
cursa	carrera
davanter	delantero
defendre	defender
defensiu	defensivo
descompte	descuento
disc	disco
puntada	patada
dretà	diestro
driblatge	regate
encaixar	encajar
entrebancar	zancadillear
escacs	ajedrez
esportista	deportista
esquerrà	zurdo
esquí	esquí
estadi	estadio
braça	braza
palometa	mariposa
traveta	zancadilla
futbet	futbito
gespa	césped
gimnàs	gimnasio
gimnàstica	gimnasia
golejar	golear
graderia	grada
graella d’eixida	parrilla de salida
guanyar	ganar
handbol	balonmano
hoquei	hockey
javelina	jabalina
birles	bolos
llançament	lanzamiento
llotja	palco
marcatge	marcaje
martell	martillo
marxa	marcha
matx	match
migcampista	centrocampista
muntanyisme	montañismo
natació	natación
nedador	nadador
nedar	nadar
pal	poste
passada	pase
patinatge	patinaje
pedrera	cantera
penal	penalti
perdre	perder
perxa	pértiga
pilota	pelota
planxa	tabla
preescalfament	precalentamiento
rebutjar	despejar
recordista	recordman
regatejar	regatear
relleus	relevos
rematada	remate
replegament	repliegue
represa	reanudación
rugbi	rugby
salt d’alçada	salto de altura
salt de llargària	salto de longitud
salt de perxa	salto de pértiga
servici	saque
sorteig	sorteo
substitució	sustitución
surf de neu	snowboard
tanques	vallas
tennis	tenis
ping-pong	ping-pong
tir	tiro
tir amb arc	tiro con arco
travesser	larguero
traveta	zancadilla
trenar	trenzar
trofeu	trofeo
vestidors	vestuarios
xarxa	red
xiular	silbar
xiulet	silbato
xiulit	silbido
xut	chut
xutar	chutar
abdomen	abdomen
aixella	axila
anou del coll	nuez
anus	ano
apèndix	apéndice
artell	nudillo
artèria	arteria
avantbraç	antebrazo
barbeta	barbilla
bescoll	nuca
bessons	gemelos
bíceps	bíceps
boca	boca
braça	brazo
bronqui	bronquio
bufeta	vejiga
cabells	cabello
cama	pierna
campaneta	campanilla
canella	caño
cap	cabezazo
cara	cara
cartílag	cartílago
cella	ceja
cervell	cerebro
clau	colmillo
clavícula	clavícula
coll	cuello
còlon	colon
columna vertebral	columna vertebral
colze	codo
copró	rabadilla
cor	corazón
coroneta	coronilla
costella	costilla
crani	cráneo
cuixa	muslo
cul	culo
dent	diente
dit anular	dedo anular
dit del mig	dedo corazón
dit xicotet	dedo meñique
polze	dedo pulgar
dit índex	dedo índice
dors	dorso
empenya	empeine
engonal	ingle
esòfag	esófago
espatla	paletilla
esquelet	esqueleto
esquena	espalda
estern	esternón
estòmec	estómago
faringe	faringe
fetge	hígado
front	frente
galta	mejilla
gangli	ganglio
geniva	encía
genoll	rodilla
gluti	glúteo
gola	garganta
intestí	intestino
incisiva	incisivo
juntura	articulación
laringe	laringe
llavi	labio
lòbul	lóbulo
mà	mano
maluc	cadera
mamella	mama
mandíbula	mandíbula
medul·la espinal	médula espinal
melic	ombligo
melsa	bazo
moll de l'òs 	tuétano
monyica	muñeca
mugró	pezón
muscle	hombro
múscul	músculo
nas	nariz
natja	nalga
nervi	nervio
orella	oreja
òrgan	órgano
os	hueso
ovari	ovario
paladar	paladar
palmell de la mà	palma de la mano
pàncrees	páncreas
panxa	barriga
pèl	pelota
pell	piel
parpella	párpado
penis	pene
pestanya	pestaña
peu	pie
pit	pecho
planta del peu	planta del pie
pols	sien
pòmul	pómulo
pubis	pubis
pulmó	pulmón
puny	puño
pupil·la	pupila
queixal	muela
recte	recto
renyó	riñón
sang	sangre
talo	talón
tòrax	tórax
tendó	tendón
testicle	testículo
tou de la cama	pantorrilla
trapezi	trapecio
tronc	tronco
turmell	tobillo
ull	ojo
ungla	uña
uretra	uretra
úter	útero
vagina	vagina
vas sanguini	vaso sanguíneo
vena	vena
ventre	vientre
vèrtebra	vértebra
vesícula	vesícula
vulva	vulva
avaria	avería
margda	esmeralda
emparar	amparar
gelea	jalea
vernís	barniz
aixovar	ajuar
assortir	surtir
cònsol	cónsul
corba	curva
estoig	estuche
nodrir	nutrir
rètol	letrero
rossinyol	ruiseñor
tamboret	taburete
tolit	tullido
tomba	tumba
turment	tormento
pessic	pellizco
poruc	miedoso
arrap	arañazo
amorosir	suavizar
caserna	cuartel
atzucar	callejón
metzina	veneno
atzabeja	azabache
simbomba	zambomba
sofre	azufre
esbós	esbozo
esprèmer	exprimir
arrisar	rizar
gessamí	jazmín
pòlissa	pòliza
hissar	izar
rossí	rocín
benzina	gasolina
topaci	topacio
cossiol	maceta
rondanxa	rodaja
barrejar	mezclar
moc	moco
fugida	huida
recepta	receta
esbrinar	averiguar
gruix	grueso
cotna	corteza
setciències	sabihondo
orgue	órgano
retaule	retablo
llémena	liendre
jou	yugo
tou	blando
graella	tabla
barnús	barniz
vertigen	vértigo
vorejar	rodear
estavellar	estrellarse
malson	pesadilla
treva	tregua
baf	vaho
bena	venda
besllum	atisbo
debanar	devanar
desimbolt	desenvuelto
riba	orilla
saba	savia
bava	baba
escovilló	escobillón
sivella	hebilla
jaure	yacer
corretja	correa
enutjar	enojar
petjar	pisar
pitjar	pulsar
trepitjar	pisar
disbauxa	desmadre
ham	anzuelo
hostessa	azafata
conhort	consuelo
menhir	menhir
anihilar	aniquilar
exhaurit	agotado
substrahend	sustraendo
ol	olmo
rajola	baldosa
miratge	espejismo
botijós	tartamud
geperut	jorobado
fer fallida	quebrar
